iter	Passed	Remaining
0	4	4557
1	10	5155
2	12	4307
3	15	3786
4	17	3464
5	21	3600
6	25	3648
7	27	3377
8	29	3199
9	30	3023
10	31	2853
11	32	2707
12	34	2638
13	39	2754
14	40	2644
15	41	2538
16	42	2448
17	43	2368
18	44	2293
19	45	2223
20	46	2163
21	47	2107
22	48	2053
23	49	2019
24	52	2057
25	54	2049
26	55	2006
27	56	1960
28	57	1919
29	58	1881
30	59	1847
31	59	1812
32	60	1779
33	61	1749
34	62	1720
35	63	1693
36	65	1699
37	68	1721
38	68	1699
39	69	1675
40	70	1652
41	71	1630
42	72	1610
43	73	1592
44	74	1576
45	75	1558
46	75	1540
47	76	1523
48	77	1507
49	78	1497
50	80	1505
51	84	1533
52	85	1518
53	85	1503
54	86	1489
55	87	1475
56	88	1461
57	89	1447
58	89	1435
59	90	1423
60	91	1412
61	92	1402
62	94	1403
63	96	1409
64	99	1425
65	99	1415
66	101	1407
67	101	1397
68	102	1388
69	103	1379
70	104	1368
71	105	1358
72	106	1350
73	107	1341
74	108	1333
75	109	1335
76	113	1359
77	114	1351
78	115	1342
79	116	1334
80	116	1327
81	118	1321
82	118	1309
83	119	1301
84	120	1294
85	121	1289
86	122	1282
87	123	1277
88	125	1279
89	128	1299
90	129	1293
91	130	1287
92	131	1280
93	132	1273
94	133	1267
95	133	1261
96	134	1255
97	135	1248
98	136	1242
99	137	1236
100	138	1232
101	140	1237
102	143	1248
103	144	1243
104	145	1238
105	146	1231
106	147	1226
107	147	1221
108	148	1216
109	149	1211
110	150	1205
111	151	1200
112	152	1195
113	153	1195
114	156	1202
115	157	1203
116	158	1196
117	159	1191
118	160	1185
119	160	1180
120	161	1176
121	162	1171
122	163	1167
123	164	1162
124	165	1157
125	166	1153
126	167	1148
127	168	1147
128	171	1154
129	172	1155
130	173	1150
131	174	1146
132	175	1141
133	175	1137
134	177	1135
135	178	1131
136	178	1126
137	179	1122
138	180	1119
139	181	1115
140	182	1113
141	184	1112
142	186	1116
143	187	1112
144	187	1108
145	188	1105
146	189	1101
147	190	1098
148	191	1094
149	192	1090
150	193	1087
151	194	1084
152	195	1080
153	196	1077
154	197	1075
155	200	1083
156	202	1088
157	203	1085
158	204	1081
159	205	1078
160	205	1073
161	206	1070
162	207	1067
163	208	1063
164	209	1060
165	210	1057
166	211	1054
167	212	1052
168	214	1053
169	216	1058
170	217	1056
171	218	1052
172	219	1049
173	220	1046
174	221	1042
175	222	1039
176	222	1036
177	223	1033
178	224	1030
179	225	1027
180	226	1025
181	227	1023
182	231	1033
183	232	1030
184	233	1028
185	234	1025
186	235	1023
187	236	1020
188	237	1017
189	238	1014
190	238	1011
191	239	1009
192	240	1006
193	241	1004
194	243	1006
195	246	1011
196	247	1007
197	248	1004
198	248	1002
199	249	999
200	250	996
201	251	994
202	252	992
203	253	989
204	254	987
205	255	984
206	256	982
207	258	982
208	262	991
209	263	989
210	263	987
211	264	984
212	265	982
213	266	979
214	267	976
215	268	973
216	269	971
217	270	968
218	270	966
219	272	964
220	274	965
221	276	970
222	277	967
223	278	965
224	279	962
225	280	960
226	281	957
227	282	954
228	282	952
229	283	950
230	284	947
231	285	945
232	286	943
233	288	945
234	291	950
235	292	947
236	293	945
237	294	942
238	295	940
239	296	938
240	297	935
241	298	933
242	298	931
243	299	929
244	300	927
245	302	928
246	305	932
247	306	930
248	307	927
249	308	925
250	309	922
251	310	920
252	310	917
253	311	915
254	312	913
255	313	911
256	314	909
257	315	906
258	316	905
259	318	907
260	321	910
261	322	908
262	323	906
263	324	904
264	325	902
265	326	900
266	327	898
267	328	896
268	329	894
269	330	892
270	331	891
271	333	893
272	336	895
273	337	893
274	338	891
275	339	889
276	339	887
277	340	885
278	341	883
279	342	881
280	343	879
281	344	877
282	345	876
283	346	874
284	349	877
285	351	876
286	352	874
287	352	872
288	353	870
289	354	868
290	355	866
291	356	864
292	357	862
293	358	861
294	359	859
295	361	860
296	365	864
297	366	863
298	367	861
299	368	859
300	369	857
301	370	855
302	370	853
303	371	851
304	372	849
305	373	847
306	374	845
307	375	843
308	378	846
309	381	848
310	381	846
311	382	844
312	383	842
313	384	840
314	385	837
315	386	836
316	387	834
317	388	832
318	389	830
319	389	828
320	391	827
321	393	828
322	395	829
323	396	827
324	397	825
325	398	823
326	399	821
327	400	819
328	400	817
329	401	815
330	402	813
331	403	812
332	404	810
333	405	808
334	408	809
335	410	811
336	411	809
337	412	808
338	413	806
339	414	804
340	415	803
341	416	801
342	417	799
343	418	797
344	419	795
345	420	794
346	422	795
347	425	796
348	426	794
349	426	792
350	427	790
351	428	788
352	429	787
353	430	785
354	431	783
355	432	781
356	433	779
357	433	778
358	434	776
359	436	775
360	439	777
361	440	775
362	441	774
363	441	772
364	442	770
365	443	768
366	444	766
367	445	765
368	446	763
369	447	761
370	448	760
371	449	758
372	450	757
373	452	757
374	454	757
375	455	755
376	455	753
377	456	751
378	457	750
379	458	748
380	459	746
381	460	744
382	461	742
383	461	741
384	462	739
385	464	738
386	466	738
387	469	740
388	470	738
389	471	736
390	472	735
391	473	733
392	473	732
393	474	730
394	475	728
395	476	727
396	477	725
397	478	724
398	480	723
399	481	722
400	483	722
401	484	720
402	485	718
403	486	717
404	487	715
405	487	713
406	488	712
407	489	710
408	490	708
409	491	707
410	492	705
411	493	704
412	495	704
413	498	705
414	499	704
415	500	702
416	501	701
417	502	699
418	503	697
419	504	696
420	505	694
421	505	692
422	506	691
423	507	689
424	508	688
425	511	689
426	513	688
427	514	687
428	515	685
429	516	684
430	516	682
431	518	681
432	518	679
433	519	678
434	520	676
435	521	675
436	522	673
437	524	673
438	527	674
439	529	673
440	530	672
441	531	670
442	531	668
443	532	667
444	533	665
445	534	664
446	536	663
447	536	661
448	538	660
449	540	660
450	542	660
451	543	658
452	544	657
453	545	655
454	546	654
455	546	652
456	547	651
457	548	649
458	549	647
459	550	646
460	551	644
461	552	643
462	555	644
463	558	644
464	559	643
465	560	641
466	560	640
467	561	638
468	562	637
469	563	635
470	564	634
471	565	632
472	566	631
473	567	629
474	569	629
475	572	629
476	573	628
477	573	626
478	574	625
479	575	623
480	576	622
481	577	620
482	578	618
483	579	617
484	579	615
485	580	614
486	581	612
